call_id,timestamp,base_prefix,unique_prefix,prompt_file,image_files,phase,cluster_id,n_spikes
33,2025-11-30_21-47-52,phase1_cluster_248,phase1_cluster_248_call00033,phase1_cluster_248_call00033_prompt.txt,phase1_cluster_248_call00033_waveform_overlay.png;phase1_cluster_248_call00033_isi_histogram.png;phase1_cluster_248_call00033_aggregation_tree.png,1,248,125
34,2025-11-30_21-48-03,phase1_cluster_152,phase1_cluster_152_call00034,phase1_cluster_152_call00034_prompt.txt,phase1_cluster_152_call00034_waveform_overlay.png;phase1_cluster_152_call00034_isi_histogram.png;phase1_cluster_152_call00034_aggregation_tree.png,1,152,419
35,2025-11-30_21-48-11,phase1_cluster_148,phase1_cluster_148_call00035,phase1_cluster_148_call00035_prompt.txt,phase1_cluster_148_call00035_waveform_overlay.png;phase1_cluster_148_call00035_isi_histogram.png;phase1_cluster_148_call00035_aggregation_tree.png,1,148,391
36,2025-11-30_21-48-17,phase1_cluster_165,phase1_cluster_165_call00036,phase1_cluster_165_call00036_prompt.txt,phase1_cluster_165_call00036_waveform_overlay.png;phase1_cluster_165_call00036_isi_histogram.png;phase1_cluster_165_call00036_aggregation_tree.png,1,165,354
37,2025-11-30_21-48-23,phase1_cluster_115,phase1_cluster_115_call00037,phase1_cluster_115_call00037_prompt.txt,phase1_cluster_115_call00037_waveform_overlay.png;phase1_cluster_115_call00037_isi_histogram.png;phase1_cluster_115_call00037_aggregation_tree.png,1,115,2169
38,2025-11-30_21-48-34,phase1_cluster_104,phase1_cluster_104_call00038,phase1_cluster_104_call00038_prompt.txt,phase1_cluster_104_call00038_waveform_overlay.png;phase1_cluster_104_call00038_isi_histogram.png;phase1_cluster_104_call00038_aggregation_tree.png,1,104,11873
39,2025-11-30_21-48-51,phase1_cluster_239,phase1_cluster_239_call00039,phase1_cluster_239_call00039_prompt.txt,phase1_cluster_239_call00039_waveform_overlay.png;phase1_cluster_239_call00039_isi_histogram.png;phase1_cluster_239_call00039_aggregation_tree.png,1,239,133
40,2025-11-30_21-48-56,phase1_cluster_253,phase1_cluster_253_call00040,phase1_cluster_253_call00040_prompt.txt,phase1_cluster_253_call00040_waveform_overlay.png;phase1_cluster_253_call00040_isi_histogram.png;phase1_cluster_253_call00040_aggregation_tree.png,1,253,123
41,2025-11-30_21-49-03,phase1_cluster_219,phase1_cluster_219_call00041,phase1_cluster_219_call00041_prompt.txt,phase1_cluster_219_call00041_waveform_overlay.png;phase1_cluster_219_call00041_isi_histogram.png;phase1_cluster_219_call00041_aggregation_tree.png,1,219,388
42,2025-11-30_21-49-08,phase1_cluster_218,phase1_cluster_218_call00042,phase1_cluster_218_call00042_prompt.txt,phase1_cluster_218_call00042_waveform_overlay.png;phase1_cluster_218_call00042_isi_histogram.png;phase1_cluster_218_call00042_aggregation_tree.png,1,218,658
43,2025-11-30_21-49-15,phase1_cluster_222,phase1_cluster_222_call00043,phase1_cluster_222_call00043_prompt.txt,phase1_cluster_222_call00043_waveform_overlay.png;phase1_cluster_222_call00043_isi_histogram.png;phase1_cluster_222_call00043_aggregation_tree.png,1,222,2889
44,2025-11-30_21-49-23,phase1_cluster_4,phase1_cluster_4_call00044,phase1_cluster_4_call00044_prompt.txt,phase1_cluster_4_call00044_waveform_overlay.png;phase1_cluster_4_call00044_isi_histogram.png;phase1_cluster_4_call00044_aggregation_tree.png,1,4,13782
45,2025-11-30_21-49-35,phase1_cluster_6,phase1_cluster_6_call00045,phase1_cluster_6_call00045_prompt.txt,phase1_cluster_6_call00045_waveform_overlay.png;phase1_cluster_6_call00045_isi_histogram.png;phase1_cluster_6_call00045_aggregation_tree.png,1,6,15191
